199 COLUMBIA STREET,Brooklyn,11231,Housing Preservation and Development,1995,0.045799,TRUE,-74.002298,40.685225
487 4 AVENUE,Brooklyn,11215,Housing Preservation and Development,4892,0.112305,TRUE,-73.989979,40.668254
503 PRESIDENT STREET,Brooklyn,11215,Housing Preservation and Development,2300,0.052801,TRUE,-73.98635405,40.67813891
348 BERGEN STREET,Brooklyn,11217,Housing Preservation and Development,2000,0.045914,TRUE,-73.98043651,40.68257087
207 4 AVENUE,Brooklyn,11217,Department of Environmental Protection,17960,0.412305,TRUE,-73.9823679,40.677668
        5 STREET,Brooklyn,11231,Department of Citywide Administrative Services,183663,4.216322,TRUE,-73.99580304,40.67660131
        19 STREET,Brooklyn,0,Department of Citywide Administrative Services,79040,1.814509,TRUE,-73.999723,40.66797701
22 UNION STREET,Brooklyn,11231,Department of Business,2500,0.057392,TRUE,-74.00634233,40.6850948
        DE GRAW STREET,Brooklyn,11231,Housing Preservation and Development,420,0.009642,TRUE,-74.00205422,40.68529709
        COLES STREET,Brooklyn,11231,Department of Education,4537,0.104155,TRUE,-74.00248412,40.67942288
199 YORK STREET,Brooklyn,11201,Housing Preservation and Development,2587,0.059389,TRUE,-73.98263018,40.7014885
204 COLUMBIA STREET,Brooklyn,11231,Housing Preservation and Development,1772,0.04068,TRUE,-74.00290976,40.68523767
        2 AVENUE,Brooklyn,11232,Department of Citywide Administrative Services,19200,0.440771,TRUE,-74.00430249,40.66150603
        BERGEN STREET,Brooklyn,11217,Housing Preservation and Development,2083,0.047819,TRUE,-73.98056629,40.68262029
1629 STILLWELL AVENUE,Brooklyn,11223,School Construction Authority,2050,0.047062,TRUE,-73.98676125,40.60648909
        12 STREET,Brooklyn,11215,Department of Business,29990,0.688476,TRUE,-73.99722737,40.67197224
2 2 AVENUE,Brooklyn,11215,Department of Sanitation,63904,1.467034,TRUE,-73.99214081,40.67557583
        COLUMBIA STREET,Brooklyn,11231,Housing Preservation and Development,1338,0.030716,TRUE,-74.00418953,40.68138671
6202 FT HAMILTON PARKWAY,Brooklyn,11219,School Construction Authority,11186,0.256795,TRUE,-74.00722565,40.63208353
        4 AVENUE,Brooklyn,11209,Department of Citywide Administrative Services,209,0.004798,TRUE,-74.03268225,40.61454484
        SHORE PARKWAY,Brooklyn,11214,Department of Citywide Administrative Services,158637,3.641804,TRUE,-73.99837128,40.59014996
1627 STILLWELL AVENUE,Brooklyn,11223,School Construction Authority,2050,0.047062,TRUE,-73.98677204,40.60654673
        2 AVENUE,Brooklyn,11220,Department of Small Business Services,4480,0.102847,TRUE,-74.02573807,40.64089567
1631 STILLWELL AVENUE,Brooklyn,11223,School Construction Authority,2850,0.065427,TRUE,-73.98703548,40.60666565
1353 37 STREET,Brooklyn,11218,New York City Transit (MTA),5630,0.129247,TRUE,-73.98361594,40.64107579
        8 AVENUE,Brooklyn,11228,Department of Real Estate,1478,0.03393,TRUE,-74.01687395,40.62862564
1617 STILLWELL AVENUE,Brooklyn,11223,School Construction Authority,2050,0.047062,TRUE,-73.98681522,40.60677181
        AVENUE Y,Brooklyn,11223,Department of Education,11700,0.268595,TRUE,-73.98264277,40.58677814
        WEST 19 STREET,Brooklyn,11224,Housing Preservation and Development,1635,0.037534,TRUE,-73.98628856,40.57584883
        HUNTER AVENUE,Brooklyn,11214,Department of Parks & Recreation,14286,0.327961,TRUE,-73.99761113,40.58567031
2938A WEST 19 STREET,Brooklyn,11224,Housing Preservation and Development,1635,0.037534,TRUE,-73.98616,40.575626
